Fecha	Variable	Lectura	Unidad
04-01-2023 15:00	Precipitación acumulada	0	mm
04-01-2023 15:10	Precipitación acumulada	0	mm
04-01-2023 15:20	Precipitación acumulada	0	mm
04-01-2023 15:30	Precipitación acumulada	0	mm
04-01-2023 15:40	Precipitación acumulada	0	mm
04-01-2023 15:50	Precipitación acumulada	0	mm
04-01-2023 16:00	Precipitación acumulada	0	mm
04-01-2023 16:10	Precipitación acumulada	0	mm
04-01-2023 16:20	Precipitación acumulada	0	mm
04-01-2023 16:30	Precipitación acumulada	0	mm
04-01-2023 16:40	Precipitación acumulada	0	mm
04-01-2023 16:50	Precipitación acumulada	0	mm
