latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-12.27557,-52.69181,303.09,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,292.72,0.76,N
-12.25963,-48.81448,321.38,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.49,4.08,N
-12.25906,-48.81826,333.3,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,294.41,4.08,N
-12.2562,-48.81396,344.9,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,295.66,4.08,N
-12.25562,-48.81773,327.43,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,294.07,4.08,N
-12.25014,-56.32411,317.42,0.42,0.45,2023-04-30,442,N,VIIRS,n,2.0NRT,291.83,2.07,N
-12.24597,-56.32333,302.59,0.42,0.45,2023-04-30,442,N,VIIRS,n,2.0NRT,291.61,0.92,N
-12.13778,-54.88917,316.34,0.52,0.42,2023-04-30,442,N,VIIRS,n,2.0NRT,292.42,1.74,N
-12.13395,-54.88853,309.11,0.52,0.42,2023-04-30,442,N,VIIRS,n,2.0NRT,292.78,1.74,N
-12.13232,-54.89816,306.7,0.52,0.42,2023-04-30,442,N,VIIRS,n,2.0NRT,292.23,1.84,N
-12.0773,-46.69523,328.47,0.5,0.41,2023-04-30,442,N,VIIRS,n,2.0NRT,291.21,5.57,N
-11.89801,-48.81017,311.6,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.11,1.54,N
-11.89515,-48.80589,309.29,0.41,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.27,1.25,N
-11.87351,-48.32302,312.48,0.42,0.38,2023-04-30,442,N,VIIRS,n,2.0NRT,288.69,1.75,N
-11.87003,-48.32248,313.66,0.42,0.38,2023-04-30,442,N,VIIRS,n,2.0NRT,288.99,1.75,N
