2023-1-5 12:37:41,PH:,4.075,ORP:,231.6,OD:,8.70,EC:,1.76,0,0.00,1.000,
2023-1-5 12:37:53,PH:,4.072,ORP:,232.5,OD:,8.65,EC:,1.93,1,0.00,1.000,
2023-1-5 12:38:21,PH:,4.071,ORP:,234.7,OD:,8.68,EC:,0.52,0,0.00,1.000,
2023-1-5 12:38:33,PH:,4.068,ORP:,235.9,OD:,8.67,EC:,1.88,1,0.00,1.000,
2023-1-5 12:38:45,PH:,4.069,ORP:,237.0,OD:,8.62,EC:,1.87,1,0.00,1.000,
2023-1-5 12:42:43,PH:,4.663,ORP:,114.0,OD:,8.53,EC:,0.00,0,0.00,1.000,
2023-1-5 12:42:55,PH:,4.493,ORP:,119.2,OD:,8.56,EC:,0.02,0,0.00,1.000,
2023-1-5 12:43:15,PH:,4.353,ORP:,127.0,OD:,8.49,EC:,0.00,0,0.00,1.000,
2023-1-5 12:43:27,PH:,4.315,ORP:,130.8,OD:,8.47,EC:,1.60,0,0.00,1.000,
2023-1-5 12:43:39,PH:,4.281,ORP:,134.6,OD:,8.52,EC:,1.39,0,0.00,1.000,
2023-1-5 12:43:51,PH:,4.256,ORP:,138.4,OD:,8.56,EC:,1.42,0,0.00,1.000,
2023-1-5 12:44:3,PH:,4.238,ORP:,141.8,OD:,8.54,EC:,1.30,0,0.00,1.000,
2023-1-5 12:44:16,PH:,4.223,ORP:,144.8,OD:,8.53,EC:,1.20,0,0.00,1.000,
2023-1-5 12:44:28,PH:,4.214,ORP:,147.7,OD:,8.50,EC:,1.93,1,0.00,1.000,
2023-1-5 12:44:40,PH:,4.202,ORP:,150.3,OD:,8.55,EC:,1.42,0,0.00,1.000,
2023-1-5 12:44:52,PH:,4.194,ORP:,153.0,OD:,8.56,EC:,1.57,0,0.00,1.000,
2023-1-5 12:45:4,PH:,4.187,ORP:,155.7,OD:,8.56,EC:,1.58,0,0.00,1.000,
2023-1-5 12:45:16,PH:,4.176,ORP:,158.0,OD:,8.52,EC:,1.38,0,0.00,1.000,
2023-1-5 12:45:28,PH:,4.170,ORP:,160.4,OD:,8.49,EC:,1.39,0,0.00,1.000,
2023-1-5 12:45:40,PH:,4.164,ORP:,162.4,OD:,8.55,EC:,1.88,1,0.00,1.000,
2023-1-5 12:45:52,PH:,4.158,ORP:,164.9,OD:,8.52,EC:,1.58,0,0.00,1.000,
2023-1-5 12:46:4,PH:,4.151,ORP:,166.9,OD:,8.55,EC:,1.88,1,0.00,1.000,
2023-1-5 12:46:16,PH:,4.147,ORP:,169.0,OD:,8.56,EC:,1.61,0,0.00,1.000,
2023-1-5 12:46:28,PH:,4.141,ORP:,171.3,OD:,8.51,EC:,1.50,0,0.00,1.000,
2023-1-5 12:46:40,PH:,4.136,ORP:,173.3,OD:,8.53,EC:,1.43,0,0.00,1.000,
2023-1-5 12:46:52,PH:,4.130,ORP:,175.4,OD:,8.50,EC:,1.95,1,0.00,1.000,
2023-1-5 12:47:4,PH:,4.128,ORP:,177.0,OD:,8.47,EC:,1.76,0,0.00,1.000,
2023-1-5 12:47:16,PH:,4.123,ORP:,178.6,OD:,8.47,EC:,1.42,0,0.00,1.000,
