datetime;cangilones;mm;mm15min
2023-03-15 00:01:04;0.0;0.0;0.0
2023-03-15 00:02:04;0.0;0.0;0.0
2023-03-15 00:03:04;0.0;0.0;0.0
2023-03-15 00:04:05;0.0;0.0;0.0
2023-03-15 00:05:05;0.0;0.0;0.0
2023-03-15 00:06:05;0.0;0.0;0.0
2023-03-15 00:07:05;0.0;0.0;0.0
2023-03-15 00:08:01;0.0;0.0;0.0
2023-03-15 00:09:06;0.0;0.0;0.0
2023-03-15 00:10:02;0.0;0.0;0.0
2023-03-15 00:11:02;0.0;0.0;0.0
2023-03-15 00:12:02;0.0;0.0;0.0
2023-03-15 00:13:02;0.0;0.0;0.0
2023-03-15 00:14:02;0.0;0.0;0.0
2023-03-15 00:15:03;0.0;0.0;0.0
2023-03-15 00:16:03;0.0;0.0;0.0
2023-03-15 00:17:03;0.0;0.0;0.0
2023-03-15 00:18:03;0.0;0.0;0.0
2023-03-15 00:19:04;0.0;0.0;0.0
2023-03-15 00:20:04;0.0;0.0;0.0
2023-03-15 00:21:04;0.0;0.0;0.0
2023-03-15 00:22:04;0.0;0.0;0.0
2023-03-15 00:23:04;0.0;0.0;0.0
2023-03-15 00:24:05;0.0;0.0;0.0
2023-03-15 00:25:05;0.0;0.0;0.0
2023-03-15 00:26:05;0.0;0.0;0.0
2023-03-15 00:27:05;0.0;0.0;0.0
2023-03-15 00:28:06;0.0;0.0;0.0
2023-03-15 00:29:01;0.0;0.0;0.0
2023-03-15 00:30:02;0.0;0.0;0.0
2023-03-15 00:31:02;0.0;0.0;0.0
2023-03-15 00:32:02;0.0;0.0;0.0
2023-03-15 00:33:02;0.0;0.0;0.0
2023-03-15 00:34:02;0.0;0.0;0.0
2023-03-15 00:35:03;0.0;0.0;0.0
2023-03-15 00:36:03;0.0;0.0;0.0
2023-03-15 00:37:03;0.0;0.0;0.0
2023-03-15 00:38:03;0.0;0.0;0.0
2023-03-15 00:39:04;0.0;0.0;0.0
2023-03-15 00:40:04;0.0;0.0;0.0
2023-03-15 00:41:04;0.0;0.0;0.0
2023-03-15 00:42:04;0.0;0.0;0.0
2023-03-15 00:43:04;0.0;0.0;0.0
2023-03-15 00:44:05;0.0;0.0;0.0
2023-03-15 00:45:05;0.0;0.0;0.0
2023-03-15 00:46:05;0.0;0.0;0.0
2023-03-15 00:47:05;0.0;0.0;0.0
2023-03-15 00:48:05;0.0;0.0;0.0
2023-03-15 00:49:01;0.0;0.0;0.0
2023-03-15 00:50:06;0.0;0.0;0.0
2023-03-15 00:51:02;0.0;0.0;0.0
2023-03-15 00:52:02;0.0;0.0;0.0
2023-03-15 00:53:02;0.0;0.0;0.0
2023-03-15 00:54:02;0.0;0.0;0.0
2023-03-15 00:55:03;0.0;0.0;0.0
2023-03-15 00:56:03;0.0;0.0;0.0
2023-03-15 00:57:03;0.0;0.0;0.0
2023-03-15 00:58:03;0.0;0.0;0.0
2023-03-15 00:59:03;0.0;0.0;0.0
2023-03-15 01:00:04;0.0;0.0;0.0
2023-03-15 01:01:04;0.0;0.0;0.0
2023-03-15 01:02:04;0.0;0.0;0.0
2023-03-15 01:03:04;0.0;0.0;0.0
2023-03-15 01:04:05;0.0;0.0;0.0
2023-03-15 01:05:05;0.0;0.0;0.0
2023-03-15 01:06:05;0.0;0.0;0.0
2023-03-15 01:07:05;0.0;0.0;0.0
2023-03-15 01:08:05;0.0;0.0;0.0
2023-03-15 01:09:01;0.0;0.0;0.0
2023-03-15 01:10:06;0.0;0.0;0.0
2023-03-15 01:11:02;0.0;0.0;0.0
2023-03-15 01:12:02;0.0;0.0;0.0
2023-03-15 01:13:02;0.0;0.0;0.0
2023-03-15 01:14:02;0.0;0.0;0.0
2023-03-15 01:15:03;0.0;0.0;0.0
2023-03-15 01:16:03;0.0;0.0;0.0
2023-03-15 01:17:03;0.0;0.0;0.0
2023-03-15 01:18:03;0.0;0.0;0.0
2023-03-15 01:19:04;0.0;0.0;0.0
2023-03-15 01:20:04;0.0;0.0;0.0
2023-03-15 01:21:04;0.0;0.0;0.0
2023-03-15 01:22:04;0.0;0.0;0.0
2023-03-15 01:23:04;0.0;0.0;0.0
2023-03-15 01:24:05;0.0;0.0;0.0
2023-03-15 01:25:05;0.0;0.0;0.0
2023-03-15 01:26:05;0.0;0.0;0.0
2023-03-15 01:27:05;0.0;0.0;0.0
2023-03-15 01:28:06;0.0;0.0;0.0
2023-03-15 01:29:01;0.0;0.0;0.0
2023-03-15 01:30:06;0.0;0.0;0.0
2023-03-15 01:31:02;0.0;0.0;0.0
2023-03-15 01:32:02;0.0;0.0;0.0
2023-03-15 01:33:02;0.0;0.0;0.0
2023-03-15 01:34:02;0.0;0.0;0.0
2023-03-15 01:35:03;0.0;0.0;0.0
2023-03-15 01:36:03;0.0;0.0;0.0
2023-03-15 01:37:03;0.0;0.0;0.0
2023-03-15 01:38:03;0.0;0.0;0.0
2023-03-15 01:39:03;0.0;0.0;0.0
2023-03-15 01:40:04;0.0;0.0;0.0
2023-03-15 01:41:04;0.0;0.0;0.0
2023-03-15 01:42:04;0.0;0.0;0.0
2023-03-15 01:43:04;0.0;0.0;0.0
2023-03-15 01:44:05;0.0;0.0;0.0
2023-03-15 01:45:05;0.0;0.0;0.0
2023-03-15 01:46:05;0.0;0.0;0.0
2023-03-15 01:47:05;0.0;0.0;0.0
2023-03-15 01:48:06;0.0;0.0;0.0
2023-03-15 01:49:01;0.0;0.0;0.0
2023-03-15 01:50:06;0.0;0.0;0.0
2023-03-15 01:51:02;0.0;0.0;0.0
2023-03-15 01:52:02;0.0;0.0;0.0
2023-03-15 01:53:02;0.0;0.0;0.0
2023-03-15 01:54:02;0.0;0.0;0.0
2023-03-15 01:55:03;0.0;0.0;0.0
2023-03-15 01:56:03;0.0;0.0;0.0
2023-03-15 01:57:03;0.0;0.0;0.0
2023-03-15 01:58:03;0.0;0.0;0.0
2023-03-15 01:59:04;0.0;0.0;0.0
2023-03-15 02:00:04;0.0;0.0;0.0
2023-03-15 02:01:04;0.0;0.0;0.0
2023-03-15 02:02:04;0.0;0.0;0.0
2023-03-15 02:03:04;0.0;0.0;0.0
2023-03-15 02:04:05;0.0;0.0;0.0
2023-03-15 02:05:05;0.0;0.0;0.0
2023-03-15 02:06:05;0.0;0.0;0.0
2023-03-15 02:07:05;0.0;0.0;0.0
2023-03-15 02:08:01;0.0;0.0;0.0
2023-03-15 02:09:06;0.0;0.0;0.0
2023-03-15 02:10:02;0.0;0.0;0.0
2023-03-15 02:11:02;0.0;0.0;0.0
2023-03-15 02:12:02;0.0;0.0;0.0
2023-03-15 02:13:02;0.0;0.0;0.0
2023-03-15 02:14:02;0.0;0.0;0.0
2023-03-15 02:15:03;0.0;0.0;0.0
2023-03-15 02:16:03;0.0;0.0;0.0
2023-03-15 02:17:03;0.0;0.0;0.0
2023-03-15 02:18:03;0.0;0.0;0.0
2023-03-15 02:19:04;0.0;0.0;0.0
2023-03-15 02:20:04;0.0;0.0;0.0
2023-03-15 02:21:04;0.0;0.0;0.0
2023-03-15 02:22:04;0.0;0.0;0.0
2023-03-15 02:23:04;0.0;0.0;0.0
2023-03-15 02:24:05;0.0;0.0;0.0
2023-03-15 02:25:05;0.0;0.0;0.0
2023-03-15 02:26:05;0.0;0.0;0.0
2023-03-15 02:27:05;0.0;0.0;0.0
2023-03-15 02:28:06;0.0;0.0;0.0
2023-03-15 02:29:01;0.0;0.0;0.0
2023-03-15 02:30:06;0.0;0.0;0.0
2023-03-15 02:31:02;0.0;0.0;0.0
2023-03-15 02:32:02;0.0;0.0;0.0
2023-03-15 02:33:02;0.0;0.0;0.0
2023-03-15 02:34:02;0.0;0.0;0.0
2023-03-15 02:35:03;0.0;0.0;0.0
2023-03-15 02:36:03;0.0;0.0;0.0
2023-03-15 02:37:03;0.0;0.0;0.0
2023-03-15 02:38:03;0.0;0.0;0.0
2023-03-15 02:39:03;0.0;0.0;0.0
2023-03-15 02:40:04;0.0;0.0;0.0
2023-03-15 02:41:04;0.0;0.0;0.0
2023-03-15 02:42:04;0.0;0.0;0.0
2023-03-15 02:43:04;0.0;0.0;0.0
2023-03-15 02:44:05;0.0;0.0;0.0
2023-03-15 02:45:05;0.0;0.0;0.0
2023-03-15 02:46:05;0.0;0.0;0.0
2023-03-15 02:47:05;0.0;0.0;0.0
2023-03-15 02:48:05;0.0;0.0;0.0
2023-03-15 02:49:01;0.0;0.0;0.0
2023-03-15 02:50:06;0.0;0.0;0.0
2023-03-15 02:51:02;0.0;0.0;0.0
2023-03-15 02:52:02;0.0;0.0;0.0
2023-03-15 02:53:02;0.0;0.0;0.0
2023-03-15 02:54:02;0.0;0.0;0.0
2023-03-15 02:55:03;0.0;0.0;0.0
2023-03-15 02:56:03;0.0;0.0;0.0
2023-03-15 02:57:03;0.0;0.0;0.0
2023-03-15 02:58:03;0.0;0.0;0.0
2023-03-15 02:59:03;0.0;0.0;0.0
2023-03-15 03:00:04;0.0;0.0;0.0
2023-03-15 03:01:04;0.0;0.0;0.0
2023-03-15 03:02:04;0.0;0.0;0.0
2023-03-15 03:03:04;0.0;0.0;0.0
2023-03-15 03:04:05;0.0;0.0;0.0
2023-03-15 03:05:05;0.0;0.0;0.0
2023-03-15 03:06:05;0.0;0.0;0.0
2023-03-15 03:07:05;0.0;0.0;0.0
2023-03-15 03:08:05;0.0;0.0;0.0
2023-03-15 03:09:01;0.0;0.0;0.0
2023-03-15 03:10:06;0.0;0.0;0.0
2023-03-15 03:11:02;0.0;0.0;0.0
2023-03-15 03:12:02;0.0;0.0;0.0
2023-03-15 03:13:02;0.0;0.0;0.0
2023-03-15 03:14:02;0.0;0.0;0.0
2023-03-15 03:15:03;0.0;0.0;0.0
2023-03-15 03:16:03;0.0;0.0;0.0
2023-03-15 03:17:03;0.0;0.0;0.0
2023-03-15 03:18:03;0.0;0.0;0.0
2023-03-15 03:19:03;0.0;0.0;0.0
2023-03-15 03:20:04;0.0;0.0;0.0
2023-03-15 03:21:04;0.0;0.0;0.0
2023-03-15 03:22:04;0.0;0.0;0.0
2023-03-15 03:23:04;0.0;0.0;0.0
2023-03-15 03:24:05;0.0;0.0;0.0
2023-03-15 03:25:05;0.0;0.0;0.0
2023-03-15 03:26:05;0.0;0.0;0.0
2023-03-15 03:27:05;0.0;0.0;0.0
2023-03-15 03:28:05;0.0;0.0;0.0
2023-03-15 03:29:01;0.0;0.0;0.0
2023-03-15 03:30:06;0.0;0.0;0.0
2023-03-15 03:31:02;0.0;0.0;0.0
2023-03-15 03:32:02;0.0;0.0;0.0
2023-03-15 03:33:02;0.0;0.0;0.0
2023-03-15 03:34:02;0.0;0.0;0.0
2023-03-15 03:35:03;0.0;0.0;0.0
2023-03-15 03:36:03;0.0;0.0;0.0
2023-03-15 03:37:03;0.0;0.0;0.0
2023-03-15 03:38:03;0.0;0.0;0.0
2023-03-15 03:39:04;0.0;0.0;0.0
2023-03-15 03:40:04;0.0;0.0;0.0
2023-03-15 03:41:04;0.0;0.0;0.0
2023-03-15 03:42:04;0.0;0.0;0.0
2023-03-15 03:43:04;0.0;0.0;0.0
2023-03-15 03:44:05;0.0;0.0;0.0
2023-03-15 03:45:05;0.0;0.0;0.0
2023-03-15 03:46:05;0.0;0.0;0.0
2023-03-15 03:47:05;0.0;0.0;0.0
2023-03-15 03:48:01;0.0;0.0;0.0
2023-03-15 03:49:06;0.0;0.0;0.0
2023-03-15 03:50:02;0.0;0.0;0.0
2023-03-15 03:51:02;0.0;0.0;0.0
2023-03-15 03:52:02;0.0;0.0;0.0
2023-03-15 03:53:02;0.0;0.0;0.0
2023-03-15 03:54:02;0.0;0.0;0.0
2023-03-15 03:55:03;0.0;0.0;0.0
2023-03-15 03:56:03;0.0;0.0;0.0
2023-03-15 03:57:03;0.0;0.0;0.0
2023-03-15 03:58:03;0.0;0.0;0.0
2023-03-15 03:59:04;0.0;0.0;0.0
2023-03-15 04:00:04;0.0;0.0;0.0
2023-03-15 04:01:04;0.0;0.0;0.0
2023-03-15 04:02:04;0.0;0.0;0.0
2023-03-15 04:03:04;0.0;0.0;0.0
2023-03-15 04:04:05;0.0;0.0;0.0
2023-03-15 04:05:05;0.0;0.0;0.0
2023-03-15 04:06:05;0.0;0.0;0.0
2023-03-15 04:07:05;0.0;0.0;0.0
2023-03-15 04:08:01;0.0;0.0;0.0
2023-03-15 04:09:06;0.0;0.0;0.0
2023-03-15 04:10:02;0.0;0.0;0.0
2023-03-15 04:11:02;0.0;0.0;0.0
2023-03-15 04:12:02;0.0;0.0;0.0
2023-03-15 04:13:02;0.0;0.0;0.0
2023-03-15 04:14:03;0.0;0.0;0.0
2023-03-15 04:15:03;0.0;0.0;0.0
2023-03-15 04:16:03;0.0;0.0;0.0
2023-03-15 04:17:03;0.0;0.0;0.0
2023-03-15 04:18:04;0.0;0.0;0.0
2023-03-15 04:19:04;0.0;0.0;0.0
2023-03-15 04:20:04;0.0;0.0;0.0
2023-03-15 04:21:04;0.0;0.0;0.0
2023-03-15 04:22:04;0.0;0.0;0.0
2023-03-15 04:23:05;0.0;0.0;0.0
2023-03-15 04:24:05;0.0;0.0;0.0
2023-03-15 04:25:05;0.0;0.0;0.0
2023-03-15 04:26:05;0.0;0.0;0.0
2023-03-15 04:27:01;0.0;0.0;0.0
2023-03-15 04:28:06;0.0;0.0;0.0
2023-03-15 04:29:02;0.0;0.0;0.0
2023-03-15 04:30:02;0.0;0.0;0.0
