LAT,LON,DATE
-31.613209,-60.725605,2020-03-11 15:18
-31.61203,-60.72573,2020-09-08 14:30
-31.609791,-60.722607,2021-09-29 14:48
-31.6302,-60.72924,2022-07-13 14:15
-31.62782,-60.72478,2022-08-18 14:41
