datetime;voltaje;distancia
2022-12-26 16:49:59;3.94;27.0
2022-12-26 18:46:57;3.93;242.0
2022-12-26 18:47:11;3.93;242.0
2022-12-26 19:20:14;3.92;243.0
2022-12-26 19:28:13;3.94;243.0
2022-12-26 19:29:07;3.94;243.0
2022-12-26 19:30:06;3.94;243.0
2022-12-26 19:31:05;3.94;243.0
2022-12-26 19:32:09;3.94;243.0
2022-12-26 19:33:08;3.94;243.0
2022-12-26 19:34:07;3.94;243.0
2022-12-26 19:35:06;3.94;243.0
2022-12-26 19:36:05;3.94;243.0
2022-12-26 19:37:08;3.94;243.0
2022-12-26 19:38:07;3.94;243.0
2022-12-26 19:39:06;3.94;243.0
2022-12-26 19:40:05;3.94;243.0
2022-12-26 19:41:09;3.94;243.0
2022-12-26 19:42:08;3.94;243.0
2022-12-26 19:43:06;3.94;243.0
2022-12-26 19:44:05;3.94;243.0
2022-12-26 19:45:09;3.94;243.0
2022-12-26 19:46:08;3.94;244.0
2022-12-26 19:47:07;3.94;244.0
2022-12-26 19:48:05;3.94;244.0
2022-12-26 19:49:04;3.94;244.0
2022-12-26 19:50:08;3.94;244.0
2022-12-26 19:51:07;3.94;244.0
2022-12-26 19:52:05;3.94;244.0
2022-12-26 19:53:04;3.94;244.0
2022-12-26 19:54:08;3.94;244.0
2022-12-26 19:55:07;3.94;244.0
2022-12-26 19:56:05;3.94;244.0
2022-12-26 19:57:04;3.94;244.0
2022-12-26 19:58:08;3.94;244.0
2022-12-26 19:59:07;3.94;244.0
2022-12-26 20:00:05;3.94;244.0
2022-12-26 20:01:09;3.94;244.0
2022-12-26 20:02:08;3.94;244.0
2022-12-26 20:03:06;3.94;245.0
2022-12-26 20:04:05;3.94;245.0
2022-12-26 20:05:08;3.94;244.0
2022-12-26 20:06:07;3.94;244.0
2022-12-26 20:07:06;3.94;244.0
2022-12-26 20:08:05;3.94;244.0
2022-12-26 20:09:08;3.94;244.0
2022-12-26 20:10:07;3.94;244.0
2022-12-26 20:11:05;3.94;244.0
2022-12-26 20:12:04;3.94;244.0
2022-12-26 20:13:08;3.94;244.0
2022-12-26 20:14:06;3.94;244.0
2022-12-26 20:15:05;3.94;244.0
2022-12-26 20:16:08;3.94;244.0
2022-12-26 20:17:07;3.94;244.0
2022-12-26 20:18:06;3.94;244.0
2022-12-26 20:19:04;3.94;244.0
2022-12-26 20:20:08;3.94;244.0
2022-12-26 20:21:06;3.94;244.0
2022-12-26 20:22:05;3.94;245.0
2022-12-26 20:23:08;3.94;245.0
2022-12-26 20:24:07;3.94;245.0
2022-12-26 20:25:06;3.94;245.0
2022-12-26 20:26:04;3.94;245.0
2022-12-26 20:27:07;3.94;245.0
2022-12-26 20:28:06;3.94;245.0
2022-12-26 20:29:05;3.94;244.0
2022-12-26 20:30:08;3.94;245.0
2022-12-26 20:31:07;3.94;245.0
2022-12-26 20:32:05;3.94;245.0
2022-12-26 20:33:09;3.94;245.0
2022-12-26 20:34:07;3.94;245.0
2022-12-26 20:35:06;3.94;245.0
2022-12-26 20:36:04;3.94;245.0
2022-12-26 20:37:08;3.94;245.0
2022-12-26 20:38:06;3.94;245.0
2022-12-26 20:39:05;3.94;245.0
2022-12-26 20:40:08;3.94;245.0
2022-12-26 20:41:07;3.94;245.0
2022-12-26 20:42:05;3.94;245.0
2022-12-26 20:43:08;3.94;245.0
2022-12-26 20:44:07;3.94;245.0
2022-12-26 20:45:06;3.94;245.0
2022-12-26 20:46:04;3.94;245.0
2022-12-26 20:47:07;3.94;245.0
2022-12-26 20:48:06;3.94;245.0
2022-12-26 20:49:05;3.94;245.0
2022-12-26 20:50:08;3.94;245.0
2022-12-26 20:51:06;3.94;245.0
2022-12-26 20:52:05;3.94;245.0
2022-12-26 20:53:08;3.94;245.0
2022-12-26 20:54:07;3.94;245.0
2022-12-26 20:55:05;3.94;245.0
2022-12-26 20:56:08;3.94;245.0
2022-12-26 20:57:07;3.94;245.0
2022-12-26 20:58:06;3.94;245.0
2022-12-26 20:59:04;3.94;245.0
2022-12-26 21:00:07;3.94;245.0
2022-12-26 21:01:06;3.94;246.0
2022-12-26 21:02:04;3.94;246.0
2022-12-26 21:03:08;3.94;246.0
2022-12-26 21:04:06;3.94;246.0
2022-12-26 21:05:05;3.94;246.0
2022-12-26 21:06:08;3.94;246.0
2022-12-26 21:07:06;3.94;246.0
2022-12-26 21:08:05;3.94;245.0
2022-12-26 21:09:08;3.94;246.0
2022-12-26 21:10:07;3.94;245.0
2022-12-26 21:11:05;3.94;246.0
2022-12-26 21:12:08;3.94;245.0
2022-12-26 21:13:07;3.94;245.0
2022-12-26 21:14:05;3.94;245.0
2022-12-26 21:15:09;3.94;245.0
2022-12-26 21:16:07;3.94;245.0
2022-12-26 21:17:06;3.94;245.0
2022-12-26 21:18:04;3.94;245.0
2022-12-26 21:19:07;3.94;245.0
2022-12-26 21:20:06;3.94;245.0
2022-12-26 21:21:04;3.94;245.0
2022-12-26 21:22:07;3.94;245.0
2022-12-26 21:23:06;3.94;245.0
2022-12-26 21:24:04;3.94;245.0
2022-12-26 21:25:08;3.94;245.0
2022-12-26 21:26:06;3.94;245.0
2022-12-26 21:27:04;3.94;245.0
2022-12-26 21:28:08;3.94;245.0
2022-12-26 21:29:06;3.94;245.0
2022-12-26 21:30:05;3.94;246.0
2022-12-26 21:31:08;3.94;245.0
2022-12-26 21:32:06;3.94;245.0
2022-12-26 21:33:05;3.94;245.0
2022-12-26 21:34:08;3.94;246.0
2022-12-26 21:35:06;3.94;246.0
2022-12-26 21:36:05;3.94;246.0
2022-12-26 21:37:08;3.94;246.0
2022-12-26 21:38:07;3.94;246.0
2022-12-26 21:39:05;3.94;246.0
2022-12-26 21:40:08;3.94;246.0
2022-12-26 21:41:07;3.94;246.0
2022-12-26 21:42:05;3.94;245.0
2022-12-26 21:43:08;3.94;246.0
2022-12-26 21:44:07;3.94;246.0
2022-12-26 21:45:05;3.94;246.0
2022-12-26 21:46:08;3.94;246.0
2022-12-26 21:47:07;3.94;246.0
2022-12-26 21:48:05;3.94;246.0
2022-12-26 21:49:09;3.94;246.0
2022-12-26 21:50:07;3.94;246.0
2022-12-26 21:51:05;3.94;246.0
2022-12-26 21:52:04;3.94;246.0
2022-12-26 21:53:07;3.94;246.0
2022-12-26 21:54:06;3.94;246.0
2022-12-26 21:55:04;3.94;246.0
